STT,Tên rác,Phân loại,Nguồn gốc sinh vật (1/0),Vệ sinh/Y tế (1/0),Chất liệu nguyên bản (1/0),Sạch sẽ (1/0),Độ ẩm (0-100),Độ ướt (0-100)
1,Vỏ chuối chín,Hữu cơ,1,0,0,0,"82,4","15,7"
2,Chai nhựa PET 500ml sạch,Tái chế,0,0,1,1,"4,2","71,3"
3,Cốc trà sữa còn nước và trân châu,Vô cơ,0,0,1,0,"78,6","85,2"
4,Khẩu trang y tế dùng rồi,Vô cơ,0,1,0,0,"28,4","32,1"
5,Giấy báo cũ khô,Tái chế,1,0,1,1,"12,7","22,4"
6,Lon nước ngọt nhôm sạch,Tái chế,0,0,1,1,"3,1","88,9"
7,Vỏ cam quýt,Hữu cơ,1,0,0,0,"72,8","28,4"
8,Hộp xốp dính dầu mỡ,Vô cơ,0,0,0,0,"42,6","12,7"
9,Khăn giấy ướt dùng rồi,Vô cơ,1,1,0,0,"88,3","14,2"
10,Lõi ngô sau khi ăn,Hữu cơ,1,0,0,0,"58,1","62,4"
11,Chai thủy tinh nước mắm sạch,Tái chế,0,0,1,1,"4,4","97,8"
12,Túi nilon đựng thực phẩm bẩn,Vô cơ,0,0,0,0,"48,9","8,2"
13,Xương gà thừa,Hữu cơ,1,0,0,0,"42,3","81,1"
14,Vỏ hộp sữa giấy sạch,Tái chế,1,0,1,1,"18,7","42,3"
15,Bông tẩy trang dùng rồi,Vô cơ,1,1,0,0,"28,8","12,2"
16,Thức ăn thừa (cơm rau),Hữu cơ,1,0,0,0,"92,4","22,6"
17,Đinh sắt gỉ,Vô cơ,0,0,1,0,"8,1","97,7"
18,Túi nilon siêu thị sạch,Tái chế,0,0,0,1,"4,2","8,8"
19,Vỏ trứng gà,Hữu cơ,1,0,0,0,"32,6","42,2"
20,Hộp nhựa định hình dính đồ ăn,Vô cơ,0,0,1,0,"22,4","52,9"
21,Lá cây khô quét sân,Hữu cơ,1,0,0,1,"12,3","32,1"
22,Mảnh sành bát đĩa vỡ,Vô cơ,0,0,1,0,"2,2","93,4"
23,Vỏ dưa hấu,Hữu cơ,1,0,0,0,"88,1","52,7"
24,Bìa carton thùng hàng sạch,Tái chế,1,0,1,1,"12,8","52,3"
25,Bút bi hết mực,Vô cơ,0,0,0,0,"3,6","78,1"
26,Xác trà túi lọc,Hữu cơ,1,0,0,0,"90,4","8,3"
27,Vỏ hạt lạc,Hữu cơ,1,0,0,0,"12,1","32,8"
28,Lọ nhựa đựng thuốc sạch,Tái chế,0,0,1,1,"3,9","62,2"
29,Khay xốp đựng thịt siêu thị bẩn,Vô cơ,0,0,0,0,"42,2","18,4"
30,Ống hút nhựa dùng rồi,Vô cơ,0,0,0,0,"12,8","22,1"
31,Bàn chải đánh răng cũ,Vô cơ,0,1,0,0,"18,3","68,5"
32,Vỏ gói mì tôm,Vô cơ,0,0,0,0,"8,7","18,2"
33,Lốp xe đạp hỏng,Vô cơ,0,0,0,0,"8,4","88,8"
34,Nắp chai nhựa sạch,Tái chế,0,0,1,1,"2,6","82,3"
35,Vỏ bưởi xanh,Hữu cơ,1,0,0,0,"85,2","32,9"
36,Mảnh gốm sứ vỡ,Vô cơ,0,0,1,0,"2,1","97,2"
37,Bao xi măng giấy cũ,Vô cơ,0,0,0,0,"22,5","42,1"
38,Chai nhựa tương ớt dở,Vô cơ,0,0,1,0,"58,3","62,4"
39,Giấy vụn văn phòng sạch,Tái chế,1,0,1,1,"3,8","22,2"
40,Quần áo cũ nát,Vô cơ,1,0,0,0,"12,4","32,7"
41,Pin tiểu hỏng,Vô cơ,0,0,1,0,"3,2","92,1"
42,Hộp thiếc đựng bánh sạch,Tái chế,0,0,1,1,"2,9","92,8"
43,Chai rượu thủy tinh sạch,Tái chế,0,0,1,1,"2,4","97,6"
44,Vỏ hạt dưa dẻ,Hữu cơ,1,0,0,0,"18,7","42,2"
45,Túi giấy đựng bánh mì khô,Tái chế,1,0,1,1,"12,1","22,4"
